"","MKT","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","SE.MKT","Wald.p.value.MKT_1","SE.MKT.indep","Factor","Type","max.quarter","lambda","kernel.bandwidth","CV.key","weighting","error.fun","sdf.model","datetime","validation.error","ME","SE.ME","SE.ME.indep","IA","SE.IA","SE.IA.indep","ROE","SE.ROE","SE.ROE.indep","EG","SE.EG","SE.EG.indep","Alpha","SE.Alpha","SE.Alpha.indep","RF","best.key","Tables","Alpha.p.a.","ID"
"663",2.33171709187296,142.421051355492,81,NA,NA,0,TRUE,TRUE,85.016,1.0915837262584,0,0.42457730375409,"IA","PE",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:53:06",142.421051355492,NA,NA,NA,2.60614542087926,7.63290258859432,0.941401887208973,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PE 40 IA",NA,NA,"EW - 40"
"666",-0.0140667302748605,116.837133111414,89,NA,NA,0,FALSE,TRUE,93.2760000000001,27.1237474591745,0,1.47490814126642,"Alpha","PE",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:13:33",116.837133111414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0284840582979086,0.0923443811442575,0.00539395655051444,1,"PE 40 Alpha",NA,0.11889738213263,"EW - 40"
"667",3.08125,154.741705838725,30,NA,NA,0,TRUE,TRUE,12.666,1.51072666189455,0.00166541651487195,0.494613829406631,"MKT","VC",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:33:45",154.741705838725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VC 40 MKT",NA,NA,"EW - 40"
"676",1.214846235678,174.031598757597,63,NA,NA,0,TRUE,TRUE,11.007,4.93030111676237,0,2.38928172883747,"ROE","PD",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:35:02",174.031598757597,NA,NA,NA,NA,NA,NA,1.98040552256797,7.79365863866724,2.7561456581221,NA,NA,NA,NA,NA,NA,1,"PD 40 ROE",NA,NA,"EW - 40"
"678",-0.255139859992762,154.931723210127,95,NA,NA,0,FALSE,TRUE,16.104,1.7210768390432,0.096946166480641,0.245078695618742,"Alpha","PD",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:36:54",154.931723210127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0232720893699171,0.00766849100126384,0.00101940973391351,1,"PD 40 Alpha",NA,0.0963886073982998,"EW - 40"
"683",0.674086756778904,150.323971062725,57,NA,NA,0,TRUE,TRUE,16.999,5.16125535837351,0,1.44651498507889,"EG","RE",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:42:50",150.323971062725,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27131003726967,3.75187423482636,2.82575837561382,NA,NA,NA,1,"RE 40 EG",NA,NA,"EW - 40"
"689",1.48133584841872,650.992644227659,61,NA,NA,0,TRUE,TRUE,2.22800000000007,11.7561645103694,0,9.51004530447061,"EG","NATRES",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:45:25",650.992644227659,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2723268398397,85.2369351292381,71.1925327278843,NA,NA,NA,1,"NATRES 40 EG",NA,NA,"EW - 40"
"694",1.20059055240623,454.548055680774,61,NA,NA,0,TRUE,TRUE,2.41200000000003,9.6099238085815,0,4.51194153574401,"ROE","INF",40,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 13:45:24",454.548055680774,NA,NA,NA,NA,NA,NA,3.91810285999013,27.0969015639341,15.1007208480701,NA,NA,NA,NA,NA,NA,1,"INF 40 ROE",NA,NA,"EW - 40"
"699",2.03017251743005,155.841580553788,67,NA,NA,0,TRUE,TRUE,77.857,3.80250750679617,0,0.571578608036111,"IA","PE",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:30:57",155.841580553788,NA,NA,NA,2.27590759778395,9.2784911689957,1.06556009733713,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"PE 60 IA",NA,NA,"EW - 60"
"703",2.203125,175.478135015894,24,NA,NA,0,TRUE,TRUE,10.611,0.971406195112962,0.242515220551758,0.583272750782034,"MKT","VC",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:14:37",175.478135015894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"VC 60 MKT",NA,NA,"EW - 60"
"712",0.889300725805699,195.040595952369,59,NA,NA,0,TRUE,TRUE,10.423,13.9733986508917,0,2.79585780569845,"ROE","PD",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:15:53",195.040595952369,NA,NA,NA,NA,NA,NA,1.53193768282417,15.1435602280806,3.06472164278192,NA,NA,NA,NA,NA,NA,1,"PD 60 ROE",NA,NA,"EW - 60"
"719",0.559005265097947,153.002133849793,53,NA,NA,0,TRUE,TRUE,14.062,6.31596764784613,0,1.44723982153927,"EG","RE",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:23:06",153.002133849793,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14117511002114,5.25628364355052,3.11803432354117,NA,NA,NA,1,"RE 60 EG",NA,NA,"EW - 60"
"721",1.36875,718.881318971578,20,NA,NA,0,TRUE,TRUE,0.80600000000004,1.4825395101279,0.584594168733057,1.52323232469193,"MKT","NATRES",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:25:03",718.881318971578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"NATRES 60 MKT",NA,NA,"EW - 60"
"727",1.578125,509.639823953088,20,NA,NA,0,TRUE,TRUE,0.769000000000005,1.73774381508033,0.315073532009351,4.26180954015274,"MKT","INF",60,0,12,"ALL","EW","L2_Lasso","exp.aff","2020-04-13 14:25:47",509.639823953088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"INF 60 MKT",NA,NA,"EW - 60"
