"","Type","max.quarter","MKT","SE.MKT","Factor","Coef","SE.Coef","Wald.p.value.MKT_1"
"551","PE",40,2.7625,0.462517343104186,"MKT",NA,NA,0.414965382615762
"552","PE",40,1.63243744477814,0.474845494067433,"ME",1.48509688324802,0.471033646220496,0.841341957733164
"553","PE",40,2.34262771409242,0.392044800137955,"IA",2.63764852137086,0.893799412065531,0.0748150233541023
"554","PE",40,2.08416961001691,0.583569209601314,"ROE",2.22224200232374,0.527141357722268,0.631416628327092
"555","PE",40,2.15626946535449,0.498099653053464,"EG",2.82528539346798,1.03108799694463,0.0242680442069062
"556","VC",40,2.865625,0.514375670543826,"MKT",NA,NA,0.337240402322216
"557","VC",40,3.71086328559563,0.732934842609425,"ME",-1.78111427379698,0.634895786902521,0.0190332560057275
"558","VC",40,2.78528416561453,0.556704471303575,"IA",-1.65444232146645,1.18609727783621,0.0766730336038993
"559","VC",40,3.09368724024355,0.517886902998003,"ROE",-1.0932075122927,0.669573734090719,0.461003775313394
"560","VC",40,2.81843658272992,0.484792277991661,"EG",0.95384646403254,1.24133928311413,0.376559499299796
"561","PD",40,1.5953125,2.11653902537077,"MKT",NA,NA,0.207668590781371
"562","PD",40,0.46469910067889,2.65058270555001,"ME",1.67961674445284,2.28657403434802,3.33817600417508e-06
"563","PD",40,1.1741200666945,1.74946702596071,"IA",3.18204909444364,3.58203954823951,0
"564","PD",40,1.2600957404056,3.19946885326757,"ROE",1.97944507493866,3.65725741543883,5.53248780121862e-10
"565","PD",40,1.20197341361529,2.70497451074278,"EG",3.24117679701931,5.62755070072529,0
"566","RE",40,1.1875,0.939004146945166,"MKT",NA,NA,0.86024423047818
"567","RE",40,0.125910635808729,1.19759969384503,"ME",1.34658461258594,1.23490871382764,0.0368190089644386
"568","RE",40,0.952861037234674,0.835004142243441,"IA",1.41523579531192,2.15422781394242,0.00927868894005313
"569","RE",40,0.755383305096568,1.08444101918431,"ROE",2.7541205830502,0.831435104352183,0.0535789111941816
"570","RE",40,0.690950978865343,0.958235051054832,"EG",3.69294676762649,3.35398151771295,0
"571","NATRES",40,1.9015625,1.32825099507027,"MKT",NA,NA,0.231111225933418
"572","NATRES",40,0.840756192882693,2.47110649894834,"ME",1.67668525528788,3.40433160212599,1.08092944595128e-08
"573","NATRES",40,1.6372215837906,1.74247839183656,"IA",1.91229032494775,11.7866944806589,0
"574","NATRES",40,1.56312397759129,1.44460230902813,"ROE",2.18307826249294,3.1838848006058,1.17306164781894e-12
"575","NATRES",40,1.5231147229028,1.8649081713698,"EG",2.28034231652005,15.1516064755541,0
"576","INF",40,1.7234375,5.4254695404808,"MKT",NA,NA,8.67340180459308e-05
"577","INF",40,0.748963639885188,4.36272004072287,"ME",1.26804297864437,2.8938817165311,0.000253684346492089
"578","INF",40,1.72652066303859,7.55197930619428,"IA",-0.0225352004225323,11.1228529091539,9.76704778166138e-08
"579","INF",40,1.08188547903874,3.64002475771263,"ROE",4.65244919054685,16.9256844458286,0
"580","INF",40,1.09294783080952,3.57531307291518,"EG",3.96635452604908,9.01065694606475,0
"581","PE",60,2.525,0.526822124812017,"MKT",NA,NA,0.421741413849106
"582","PE",60,1.58839488118538,0.518034780177365,"ME",1.22986697528395,0.507072423594211,0.852388743460913
"583","PE",60,2.14589803072123,0.453207366973282,"IA",2.44712823798072,0.946165124584503,0.0694804082211634
"584","PE",60,1.93687505939444,0.665136743371573,"ROE",1.80842946308725,0.673302012738722,0.582076836310877
"585","PE",60,1.9891595921209,0.553553559545723,"EG",2.47996215529822,1.03555973557988,0.051984988918689
"586","VC",60,2.3296875,0.554694026552276,"MKT",NA,NA,0.460775965484512
"587","VC",60,3.48020536018555,0.733637999719884,"ME",-2.17705792571569,0.582819407507396,0.0191084887452297
"588","VC",60,2.19641112436858,0.554116074374023,"IA",-2.8190318275032,1.02704310530002,0.00918898752796793
"589","VC",60,2.77378416275378,0.460079763992793,"ROE",-1.91543163752031,0.655929564315944,0.278382456328568
"590","VC",60,2.39810067340732,0.546324026422432,"EG",-0.88999945819378,0.991518976454862,0.501001368447757
"591","PD",60,1.37890625,2.95049493683157,"MKT",NA,NA,0.263583662250052
"592","PD",60,0.363807575220587,5.60313499199194,"ME",1.51034206454954,5.05187363833235,0
"593","PD",60,0.97722748314555,2.89868062956684,"IA",3.1844308773143,3.91058722626163,0
"594","PD",60,1.06668349576066,3.68217836886112,"ROE",1.67718844432966,4.31731996999068,1.96078708825098e-11
"595","PD",60,1.02129942990724,2.87936983897248,"EG",2.86253048545332,5.56292429729033,0
"596","RE",60,1.109375,0.966816721408661,"MKT",NA,NA,0.915784216322417
"597","RE",60,0.162286485885397,0.00557560500530876,"ME",1.19460850271753,0.00546068761895988,0.999984503656863
"598","RE",60,0.887075250642376,0.8748266922813,"IA",1.31193140870892,2.14221382099312,0.01789393267989
"599","RE",60,0.67319592294775,1.23349098833211,"ROE",2.50030170607759,1.18975043834916,0.00572999878651581
"600","RE",60,0.622607679315848,0.999110643506625,"EG",3.57120458397549,3.38514419730295,0
"601","NATRES",60,1.61328125,1.32925785357395,"MKT",NA,NA,0.414952733993887
"602","NATRES",60,0.884037351760663,3.53864415162499,"ME",1.17110447760483,4.65653850946544,3.94684730453676e-08
"603","NATRES",60,1.36031351892416,1.72690754538107,"IA",1.95823311383028,11.4212681848072,0
"604","NATRES",60,1.33684223302071,1.40877317975053,"ROE",1.74349403330498,3.98925799833259,9.79250014410127e-12
"605","NATRES",60,1.27101594936103,1.87596796132922,"EG",2.17857774142176,14.6986578638671,0
"606","INF",60,1.65,5.33921616399323,"MKT",NA,NA,0.00051950870706019
"607","INF",60,0.648738162982046,4.32944287562831,"ME",1.32283338066772,2.87673904666741,6.66127710672315e-05
"608","INF",60,1.62431235145778,4.89738204409244,"IA",0.210542107559741,4.41191308761892,0.00890656170753712
"609","INF",60,1.07482742035837,3.63095531751465,"ROE",4.67098393980187,16.9571762590629,0
"610","INF",60,1.08500167888707,3.57016088540002,"EG",3.90625738204048,9.17316793441542,0
