"MKT","ME","IA","ROE","EG","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtimes","Factor","Type","max.quarter"
2.60912187222271,0.024166271399002,0.992068983822906,3.36998726508076,-1.0421086543281,58537467330.7805,30,30,NA,0,TRUE,TRUE,4444.88500000001,"ALL","BO",40
2.08266730115332,-0.965375524499152,2.71469320109986,1.10309956133355,3.67355477863042,1776521428.04256,23,23,NA,0,TRUE,TRUE,515.452000000005,"ALL","DD",40
1.8521099507467,-0.235442334249565,3.57580174355325,3.09609330784341,0.0539492317467451,463466849.769007,26,26,NA,0,TRUE,TRUE,1298.52899999999,"ALL","FOF",40
1.89999333776884,-0.865256035932163,2.58653121434469,6.48616759996227,0.244250898854251,755545598.234734,19,19,NA,0,TRUE,TRUE,298.297000000006,"ALL","INF",40
2.36218914555965,-0.299094928491041,0.910554615786431,3.07381700718926,-1.19714394107904,179062553.577542,19,19,NA,0,TRUE,TRUE,406.085000000006,"ALL","MEZZ",40
-0.389425445161884,-0.348708835805379,2.9258309882687,2.84246089451361,1.54149894996862,2106062159.18535,27,27,NA,0,TRUE,TRUE,460.243000000002,"ALL","NATRES",40
2.05492881242566,-0.848309241888458,2.39713166387202,1.24350800985935,3.41144961172489,2077098592.75634,23,23,NA,0,TRUE,TRUE,907.846000000005,"ALL","PD",40
2.57424655348773,-0.00337033676597168,0.871506693715247,3.42721876078717,-0.955178663759251,61691720861.2068,27,27,NA,0,TRUE,TRUE,6704.799,"ALL","PE",40
1.82061672779358,-1.29811190815264,3.03750750865114,4.07990171567889,2.33949710900735,12418995940.6622,18,18,NA,0,TRUE,TRUE,932.404999999999,"ALL","RE",40
2.02486528640639,0.201196069395778,1.75324468286546,4.04927455427049,0.543192361114329,755020264.202997,26,26,NA,0,TRUE,TRUE,450.670999999988,"ALL","SEC",40
3.25716570944126,-1.59349661965618,0.885881763323099,0.537909317490972,1.84961640275387,4068709328.40325,20,20,NA,0,TRUE,TRUE,2151.223,"ALL","VC",40
